id,Company,Launch Date,Launch Time,Launch Site,Vehicle Type,Liftoff Thrust (kN),Payload to Orbit (kg),Rocket Height (m),Fairing Diameter (m),Payload Name,Payload Type,Payload Mass (kg),Payload Orbit,Mission Status,Failure Reason,temperature_2m,Lat,Long,time,relativehumidity_2m,dewpoint_2m,apparent_temperature,pressure_msl,surface_pressure,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,vapor_pressure_deficit,et0_fao_evapotranspiration,precipitation,weathercode,snowfall,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm
1,SpaceX,24-Mar-06,22:30,Marshall Islands,Falcon 1,343,470,22.25,1.5,FalconSAT-2,Research Satellite,19.5,Low Earth Orbit,Failure,Engine Fire During Launch,27.2,7.131474,171.184478,2006-03-24T22:00,75,22.4,28.1,1010.7,1010.7,38,10,0,97,31.1,34.9,55,55,44.3,614,468,146,0.91,0.4,0,1,0,0,0,0,0,28.3,28.3,28.3,28.3
2,SpaceX,21-Mar-07,1:10,Marshall Islands,Falcon 1,343,470,22.25,1.5,DemoSat,Mass simulator,,Low Earth Orbit,Failure,Engine Shutdown During Launch,27.8,7.131474,171.184478,2007-03-21T01:00,78,23.5,30.4,1010.5,1010.5,11,10,0,8,33.5,38,60,61,47.5,980,858,122,0.83,0.57,0,0,0,0,0,0,0,28.8,28.8,28.8,28.8
3,SpaceX,3-Aug-08,3:34,Marshall Islands,Falcon 1,343,470,22.25,1.5,Trailblazer,Communication Satellite,,Low Earth Orbit,Failure,Collision During Launch,26.5,7.131474,171.184478,2008-08-03T03:00,83,23.4,28.9,1008.7,1008.7,65,24,25,94,24.7,26.9,103,102,35.3,632,402,230,0.58,0.38,0,2,0,0,0,0,0,28.1,28.1,28.1,28.1
4,SpaceX,3-Aug-08,3:34,Marshall Islands,Falcon 1,343,470,22.25,1.5,"PRESat, NanoSail-D",Research Satellites,8,Low Earth Orbit,Failure,Collision During Launch,26.5,7.131474,171.184478,2008-08-03T03:00,83,23.4,28.9,1008.7,1008.7,65,24,25,94,24.7,26.9,103,102,35.3,632,402,230,0.58,0.38,0,2,0,0,0,0,0,28.1,28.1,28.1,28.1
5,SpaceX,3-Aug-08,3:34,Marshall Islands,Falcon 1,343,470,22.25,1.5,Explorers,Human Remains,,Low Earth Orbit,Failure,Collision During Launch,26.5,7.131474,171.184478,2008-08-03T03:00,83,23.4,28.9,1008.7,1008.7,65,24,25,94,24.7,26.9,103,102,35.3,632,402,230,0.58,0.38,0,2,0,0,0,0,0,28.1,28.1,28.1,28.1
6,SpaceX,8-Oct-12,0:35,Cape Canaveral,Falcon 9 (v1.0),4940,10450,54.9,5.2,Orbcomm-OG2,Communication Satellite,150,Low Earth Orbit,Failure,Engine Failure During Flight,26.5,28.4740089,-80.5771737,2012-10-08T00:00,79,22.5,29.2,1015.3,1015.1,56,14,27,91,16.4,16.4,109,109,20.9,0,0,0,0.73,0.05,0,2,0,0.223,0.189,0.097,0.118,26.1,27.1,27.3,27.4
7,SpaceX,28-Jun-15,14:21,Cape Canaveral,Falcon 9 (v1.1),5885,13150,68.4,5.2,SpaceX CRS-7,Space Station Supplies,1952,Low Earth Orbit,Failure,Vehicle Explosion During Flight,28.4,28.4740089,-80.5771737,2015-06-28T14:00,70,22.2,31.7,1017.9,1017.7,2,2,0,0,11.6,12.6,240,243,20.9,532,437,95,1.17,0.38,0,0,0,0.061,0.067,0.105,0.118,33,30.6,29,25
8,SpaceX,1-Sep-16,13:07,Cape Canaveral,Falcon 9 Full Thrust (v1.2),6804,8300,70,5.2,Amos-6,Communication Satellite,5500,Geostationary Transfer Orbit,Failure,Vehicle Explosion Before Launch,27.1,28.4740089,-80.5771737,2016-09-01T13:00,87,24.8,29.8,1013.7,1013.5,89,57,14,98,26.7,29.7,148,149,32.8,117,11,106,0.47,0.11,0.2,51,0,0.299,0.292,0.104,0.12,26.5,26.9,28.9,28
9,Boeing,5-Sep-95,11:10,Cape Canaveral,Delta II 7925,3511,1819,38.1,2.9,Koreasat 1,Communication Satellite,711,Geostationary Transfer Orbit,Failure,"One SRB failed to separate, retarding the booster's orbital velocity.",23.9,28.4740089,-80.5771737,1995-09-05T11:00,92,22.5,28.1,1015.2,1015,59,39,33,13,6.6,6.7,77,74,22.7,0,0,0,0.24,0,0.7,53,0,0.315,0.293,0.287,0.178,24.5,26,27.2,27
10,Boeing,17-Jan-97,16:28,Cape Canaveral,Delta II 7925,3511,1819,38.1,2.9,GPS IIR-1,Global Positioning System,2030,Medium Earth Orbit,Failure,Exploded 13 seconds after launch due to SRB failure.,9.6,28.4740089,-80.5771737,1997-01-17T16:00,65,3.5,3,1023.8,1023.6,55,60,0,3,35.5,38.3,347,348,55.4,466,282,184,0.42,0.19,0,2,0,0.173,0.115,0.116,0.189,14.1,16.6,21.6,23.7
